instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
60,20,40,BestCase,S,0.004234458087012172,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: True, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: True, 19: False, 20: False}"
61,22,44,BestCase,S,0.012252915999852121,"{1: True, 2: False, 3: True, 4: True, 5: True, 6: False, 7: True, 8: True, 9: True, 10: False, 11: True, 12: False, 13: True, 14: True, 15: False, 16: False, 17: False, 18: True, 19: True, 20: True, 21: False, 22: False}"
62,22,44,BestCase,U,0.0060536249075084925,"{1: True, 2: True, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: True, 14: True, 15: True, 16: False, 17: True, 18: False, 19: False, 20: False, 21: False, 22: False}"
63,22,44,BestCase,U,0.01063733291812241,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: True, 13: True, 14: False, 15: True, 16: False, 17: True, 18: True, 19: False, 20: False, 21: True, 22: False}"
64,22,44,BestCase,U,0.002694541006349027,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: False, 7: True, 8: False, 9: True, 10: True, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False, 20: False, 21: False, 22: False}"
65,22,44,BestCase,U,0.06850487494375557,"{1: True, 2: True, 3: False, 4: True, 5: False, 6: False, 7: True, 8: True, 9: False, 10: False, 11: True, 12: True, 13: True, 14: False, 15: False, 16: True, 17: True, 18: True, 19: True, 20: False, 21: True, 22: True}"
66,22,44,BestCase,U,0.004958875011652708,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: False, 10: True, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False, 20: False, 21: False, 22: False}"
67,22,44,BestCase,U,0.13159404206089675,"{1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: True, 8: True, 9: True, 10: True, 11: False, 12: False, 13: False, 14: True, 15: False, 16: True, 17: False, 18: False, 19: False, 20: False, 21: False, 22: False}"
68,22,44,BestCase,U,0.02633754094131291,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: True, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True, 16: True, 17: True, 18: True, 19: True, 20: False, 21: False, 22: False}"
69,22,44,BestCase,U,0.0061238749185577035,"{1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: False, 10: False, 11: True, 12: True, 13: True, 14: True, 15: True, 16: True, 17: True, 18: True, 19: False, 20: False, 21: False, 22: False}"
70,22,44,BestCase,U,8.033402264118195e-05,"{1: True, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False, 20: False, 21: False, 22: False}"
71,24,48,BestCase,S,0.0019087089458480477,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True, 9: True, 10: True, 11: False, 12: True, 13: False, 14: True, 15: False, 16: True, 17: True, 18: True, 19: True, 20: False, 21: False, 22: True, 23: True, 24: True}"
72,24,48,BestCase,U,0.04711925005540252,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: True, 14: False, 15: False, 16: False, 17: True, 18: True, 19: False, 20: False, 21: True, 22: False, 23: False, 24: False}"
73,24,48,BestCase,U,0.0226044999435544,"{1: False, 2: False, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: False, 10: True, 11: True, 12: True, 13: True, 14: False, 15: True, 16: False, 17: False, 18: True, 19: False, 20: True, 21: False, 22: False, 23: False, 24: False}"
74,24,48,BestCase,S,0.011132291983813047,"{1: False, 2: True, 3: True, 4: True, 5: False, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: True, 13: True, 14: True, 15: False, 16: False, 17: False, 18: True, 19: True, 20: False, 21: True, 22: False, 23: True, 24: True}"
75,24,48,BestCase,U,0.011811250005848706,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True, 9: True, 10: False, 11: False, 12: False, 13: True, 14: False, 15: False, 16: True, 17: False, 18: False, 19: False, 20: False, 21: False, 22: False, 23: False, 24: False}"
76,24,48,BestCase,U,0.07167970901355147,"{1: True, 2: True, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: False, 15: True, 16: False, 17: False, 18: False, 19: False, 20: False, 21: False, 22: False, 23: False, 24: False}"
77,24,48,BestCase,U,0.0007012090645730495,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: True, 9: True, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False, 20: False, 21: False, 22: False, 23: False, 24: False}"
78,24,48,BestCase,U,0.0013549169525504112,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: True, 12: True, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False, 20: False, 21: False, 22: False, 23: False, 24: False}"
79,24,48,BestCase,U,0.2537902909098193,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True, 9: True, 10: True, 11: True, 12: False, 13: True, 14: True, 15: False, 16: False, 17: False, 18: True, 19: True, 20: False, 21: False, 22: False, 23: True, 24: True}"
80,24,48,BestCase,S,0.009895624942146242,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: True, 10: True, 11: True, 12: True, 13: True, 14: True, 15: True, 16: True, 17: False, 18: True, 19: True, 20: True, 21: False, 22: True, 23: False, 24: True}"
81,4,20,BestCase,U,4.858395550400019e-05,"{1: False, 2: True, 3: False, 4: False}"
82,4,20,BestCase,S,6.237498018890619e-05,"{1: True, 2: False, 3: False, 4: False}"
83,4,20,BestCase,S,5.825003609061241e-05,"{1: False, 2: True, 3: True, 4: False}"
84,4,20,BestCase,S,2.5084009394049644e-05,"{1: True, 2: True, 3: True, 4: False}"
85,4,20,BestCase,U,6.612506695091724e-05,"{1: True, 2: True, 3: True, 4: True}"
86,4,20,BestCase,S,3.1791976653039455e-05,"{1: True, 2: True, 3: False, 4: True}"
87,4,20,BestCase,U,7.362500764429569e-05,"{1: True, 2: True, 3: False, 4: False}"
88,4,20,BestCase,U,6.462505552917719e-05,"{1: True, 2: True, 3: True, 4: False}"
89,4,20,BestCase,U,6.808398757129908e-05,"{1: True, 2: True, 3: True, 4: True}"
90,4,20,BestCase,S,3.066693898290396e-05,"{1: True, 2: False, 3: True, 4: False}"
91,8,40,BestCase,S,8.362496737390757e-05,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: False, 7: False, 8: True}"
92,8,40,BestCase,S,0.0004012079443782568,"{1: True, 2: False, 3: False, 4: True, 5: True, 6: False, 7: False, 8: False}"
93,8,40,BestCase,S,0.0001930838916450739,"{1: True, 2: False, 3: False, 4: True, 5: False, 6: True, 7: True, 8: False}"
94,8,40,BestCase,U,0.00034912500996142626,"{1: False, 2: True, 3: True, 4: True, 5: True, 6: False, 7: True, 8: False}"
95,8,40,BestCase,U,0.00044583308044821024,"{1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False}"
96,8,40,BestCase,U,0.0006497919093817472,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True}"
97,8,40,BestCase,U,0.0005510000046342611,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: False}"
98,8,40,BestCase,U,0.0012530419044196606,"{1: True, 2: False, 3: True, 4: True, 5: False, 6: False, 7: True, 8: False}"
99,8,40,BestCase,U,0.002083375002257526,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False}"
100,8,40,BestCase,U,0.0011483330745249987,"{1: True, 2: True, 3: True, 4: True, 5: False, 6: True, 7: True, 8: True}"
101,12,60,BestCase,U,0.013992749969474971,"{1: True, 2: True, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: True, 11: True, 12: False}"
102,12,60,BestCase,S,0.0018159169703722,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False}"
103,12,60,BestCase,U,0.014302292023785412,"{1: True, 2: True, 3: True, 4: False, 5: True, 6: False, 7: True, 8: True, 9: True, 10: False, 11: False, 12: False}"
104,12,60,BestCase,S,0.00175008294172585,"{1: True, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: False, 9: False, 10: False, 11: True, 12: False}"
105,12,60,BestCase,U,0.0174621669575572,"{1: True, 2: True, 3: True, 4: True, 5: False, 6: False, 7: True, 8: True, 9: False, 10: True, 11: False, 12: False}"
106,12,60,BestCase,U,0.008277249988168478,"{1: False, 2: False, 3: False, 4: False, 5: False, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: True}"
107,12,60,BestCase,U,0.003697332926094532,"{1: True, 2: False, 3: True, 4: False, 5: True, 6: False, 7: True, 8: False, 9: True, 10: False, 11: True, 12: False}"
108,12,60,BestCase,U,0.009981208015233278,"{1: True, 2: True, 3: False, 4: True, 5: True, 6: True, 7: True, 8: False, 9: False, 10: True, 11: False, 12: False}"
109,12,60,BestCase,S,0.0003426669863983989,"{1: True, 2: True, 3: False, 4: False, 5: True, 6: False, 7: False, 8: True, 9: True, 10: True, 11: False, 12: False}"
110,12,60,BestCase,U,0.0025034589925780892,"{1: False, 2: True, 3: False, 4: False, 5: False, 6: True, 7: False, 8: False, 9: False, 10: True, 11: False, 12: False}"
